Company Name,Industry,Symbol,Series,ISIN Code
D.B.Corp Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,DBCORP,EQ,INE950I01011
Dish TV India Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,DISHTV,EQ,INE836F01026
Inox Leisure Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,INOXLEISUR,EQ,INE312H01016
Jagran Prakashan Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,JAGRAN,EQ,INE199G01027
Network18 Media & Investments Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,NETWORK18,EQ,INE870H01013
PVR Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,PVR,EQ,INE191H01014
Sun TV Network Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,SUNTV,EQ,INE424H01027
TV Today Network Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,TVTODAY,EQ,INE038F01029
TV18 Broadcast Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,TV18BRDCST,EQ,INE886H01027
Zee Entertainment Enterprises Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,ZEEL,EQ,INE256A01028
