Company Name,Industry,Symbol,Series,ISIN Code
Automotive Stampings & Assemblies Ltd.,AUTOMOBILE,ASAL,BE,INE900C01027
Indian Hotels Co. Ltd.,CONSUMER SERVICES,INDHOTEL,EQ,INE053A01029
NELCO Ltd.,IT,NELCO,BE,INE045B01015
Oriental Hotels Ltd.,CONSUMER SERVICES,ORIENTHOT,EQ,INE750A01020
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,EQ,INE613A01020
TRF Ltd.,INDUSTRIAL MANUFACTURING,TRF,BE,INE391D01019
Tata Chemicals Ltd.,CHEMICALS,TATACHEM,EQ,INE092A01019
Tata Coffee Ltd.,CONSUMER GOODS,TATACOFFEE,EQ,INE493A01027
Tata Communications Ltd.,TELECOM,TATACOMM,EQ,INE151A01013
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,EQ,INE192A01025
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012
Tata Investment Corporation Ltd.,FINANCIAL SERVICES,TATAINVEST,EQ,INE672A01018
Tata Metaliks Ltd.,METALS,TATAMETALI,EQ,INE056C01010
Tata Motors Ltd DVR,AUTOMOBILE,TATAMTRDVR,EQ,IN9155A01020
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021
Tata Steel Long Products Ltd.,METALS,TATASTLLP,EQ,INE674A01014
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
Tata Teleservices (Maharashtra) Ltd.,TELECOM,TTML,BE,INE517B01013
Tinplate Company of India Ltd.,INDUSTRIAL MANUFACTURING,TINPLATE,EQ,INE422C01014
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028
Trent Ltd.,CONSUMER SERVICES,TRENT,EQ,INE849A01020
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021
